title,platform,IGNScore,CommScore,CommRaters,genre,publisher,developer,releaseDate,reviewDate
Child of Light,Xbox One,9.3,8.9,44,RPG,Ubisoft,Ubisoft,30.04.2014,29.04.2014
Child of Light,PC,9.3,8.9,100,RPG,Ubisoft,Ubisoft,30.04.2014,29.04.2014
Child of Light,Wii U,9.3,9.2,39,RPG,Ubisoft,Ubisoft,30.04.2014,29.04.2014
Child of Light,PlayStation 3,9.3,9.3,116,RPG,Ubisoft,Ubisoft,29.04.2014,29.04.2014
Child of Light,PlayStation 4,9.3,8.8,132,RPG,Ubisoft,Ubisoft,29.04.2014,29.04.2014
Daylight,PlayStation 4,5.8,6.4,32,Adventure,Atlus,Zombie Studios,29.04.2014,29.04.2014
Daylight,PC,5.8,5.7,70,Adventure,Atlus,Zombie Studios,29.04.2014,29.04.2014
Wargame: Red Dragon,PC,7.6,7.8,17,Strategy,Focus Home Interactive,Eugen Systems,17.04.2014,29.04.2014
The Amazing Spider-Man 2,PC,5.4,7.2,91,Action,Activision,Beenox,29.04.2014,01.05.2014
The Amazing Spider-Man 2,Xbox One,5.4,7.1,28,Action,Activision,Beenox,29.04.2014,01.05.2014
The Amazing Spider-Man 2,PlayStation 3,5.4,7.7,46,Action,Activision,Beenox,29.04.2014,01.05.2014
Republique -- Episode 2: Metamorphosis,iPhone,7.5,6,2,Adventure,Logan,Logan,30.04.2014,01.05.2014
The Amazing Spider-Man 2,PlayStation 4,5.4,6.8,212,Action,Activision,Beenox,29.04.2014,01.05.2014
The Amazing Spider-Man 2,iPhone,4.5,5.8,11,Action,Gameloft,Beenox,17.04.2014,05.05.2014
"Sir, You are Being Hunted",PC,7.7,8.9,8,Shooter,Big Robot,Big Robot,19.08.2013,02.05.2014
JoJo's Bizarre Adventure: All Star Battle,PlayStation 3,7.4,9,30,Fighting,Bandai Namco Games,CyberConnect2,29.04.2014,05.05.2014
Tesla Effect: A Tex Murphy Adventure,PC,6.8,8.8,8,Adventure,Atlus,Big Finish Games,07.05.2014,07.05.2014
The Amazing Spider-Man 2,Wii U,5.4,4.9,6,Action,Activision,Beenox,,01.05.2014
Outlast: Whistleblower,PlayStation 4,6.4,8.8,29,Action,Red Barrels,Red Barrels,06.05.2014,08.05.2014
Outlast: Whistleblower,PC,6.4,8.6,72,Action,Red Barrels,Red Barrels,06.05.2014,08.05.2014
God of War Collection,PlayStation Vita,6.3,7.8,23,Compilation,Sony Computer Entertainment,Santa Monica Studio,06.05.2014,09.05.2014
The Incredible Adventures of Van Helsing II,PC,7.4,-1,-1,Action,,,,30.05.2014
